model,annual_return,annual_volatility,sharpe_0_rf,max_drawdown,total_return,final_wealth,mean_20d_return,median_20d_return,p05_20d_return,positive_window_rate,worst_20d_return,best_20d_return,current_acwi,current_agg,current_gld,current_bsv
acwi_only,0.11699038403424122,0.16162577787868432,0.7238349325814459,-0.3352504477403587,3.902579112066178,4.902579112066178,0.01000735803973394,0.014669467360126642,-0.061651699360948206,0.6666666666666666,-0.3117223508886975,0.2080998392601805,1.0,0.0,0.0,0.0
aggressive_vote_v2,0.09999627642045117,0.11753578022572063,0.8507730686639774,-0.20849926820685183,2.9332571416175304,3.9332571416175304,0.008938993650052426,0.011184509940042199,-0.04628246825052778,0.6631701631701632,-0.2138874900254222,0.1261756035126336,1.0,0.0,0.0,0.0
current_vote_v1,0.0990705519545858,0.11302955473086193,0.876501302606081,-0.19838942183296615,2.885960605557837,3.885960605557837,0.008762223351085244,0.010901918761290007,-0.04596533724568704,0.662004662004662,-0.22475803012134166,0.1261756035126336,0.9,0.0,0.09999999999999998,0.0
dual_momentum_12m,0.09409786359625638,0.13655567599531807,0.6890805739886097,-0.22811947380825393,2.6408263579067235,3.6408263579067235,0.008153765024402215,0.007060917349586471,-0.05403402314884111,0.6386946386946387,-0.21312689413878605,0.14962760259098284,0.0,0.0,1.0,0.0
equal_weight,0.06105089450112966,0.0671855144053334,0.9086913308843141,-0.15249427060903498,1.3431760015676484,2.3431760015676484,0.005564538994119291,0.0050825573161867865,-0.022689439141665248,0.634032634032634,-0.11433647102481576,0.1114134225301831,0.25,0.25,0.25,0.25
protective_momentum,0.05879161374088526,0.07487549539655035,0.7851916495445839,-0.1585826858369085,1.2724961289330405,2.2724961289330405,0.004986870449898732,0.004316611701259967,-0.025702963132698355,0.6538461538461539,-0.1787889951156391,0.11987449742931616,0.16415224077300195,0.0,0.0,0.835847759226998
