Ticker,last_price,return_1m,return_3m,return_6m,momentum_score,trend_gap_vs_200d,drawdown_1m,volatility_20d_ann,volatility_63d_ann
ACWI,155.80999755859375,0.016017212812337478,0.12248412487108284,0.11565658083135899,0.11907035285122092,0.09088173582886361,-0.01967699687081237,0.1831173213063488,0.18183201590150613
AGG,98.61000061035156,0.009494946749475597,0.0023075933446206065,0.0067157429501911725,0.0045116681474058895,0.0028652026770812355,-0.003637472020928456,0.04161838175131767,0.04580867599997442
GLD,388.6000061035156,-0.0712902686098299,-0.1262310234374786,-0.018190959857278255,-0.07221099164737843,-0.04708410819915965,-0.06899853429348912,0.29109463396790564,0.2877850412952662
BSV,77.66000366210938,0.0016230165672854735,0.001046180849835654,0.00464528869266112,0.002845734771248387,0.0031496318113499733,-0.0032088305512631976,0.0214272801177427,0.02173107373267333
