,strategy,equal_weight,acwi_only
2012-01-03,0.010767556019932706,0.010767556019932706,0.019208064385394685
2012-01-04,0.0008986037731846253,0.0008986037731846253,-0.00023247494726619244
2012-01-05,0.0009976040233388161,0.0009976040233388161,-0.003956314918301618
2012-01-06,-0.0023330579174583588,-0.0023330579174583588,-0.007710904190569745
2012-01-09,-0.00014858600520517703,-0.0003108661539834301,0.003532361989802002
2012-01-10,0.006935520031141165,0.0056409396879485985,0.00891602343070419
2012-01-11,0.003685618130045606,0.0033507261452050963,0.003488703356360867
2012-01-12,0.001212494911768655,0.0009311648022936603,0.00046299982774855586
2012-01-13,-0.004342380151928492,-0.003237224343910189,-0.008107426710367016
2012-01-17,0.0064001723272831545,0.004641346686235781,0.00840763324189675
2012-01-18,0.008555732289211627,0.005060373772829196,0.015516070954222139
2012-01-19,0.002602611532051871,0.0010831640536970444,0.008437775200760278
2012-01-20,0.0022730176059331474,0.0013514740967839334,0.0018093774980534327
2012-01-23,0.004353547357206005,0.002436063694020052,0.0038375369061429687
2012-01-24,-0.004002074864731467,-0.0022880922336511733,-0.0029234359440014623
2012-01-25,0.014797421446093962,0.009881340637086344,0.009246481435812193
2012-01-26,0.001488333037618109,0.0018351716613854152,-0.001117197007730164
2012-01-27,0.00426714680742572,0.002859554656174379,0.0011184465328499815
2012-01-30,-0.007051926687672028,-0.002308983065717418,-0.008044456398274002
2012-01-31,0.00426359512090655,0.0027170382040020424,0.002027538462651579
2012-02-01,0.008279757642556174,0.0033946190315195246,0.01281520844426609
2012-02-02,0.006311687881477823,0.0034609031329694284,0.004661158206890725
2012-02-03,0.000509940291060839,-0.0018693476166354306,0.014140375399923188
2012-02-06,-0.003581422110183685,-0.0011089727031002583,-0.004139693354155649
2012-02-07,0.008261071375354501,0.004418726185918931,0.0037193858853377115
2012-02-08,-0.0011284251979150287,-0.0016318930445150814,0.0028334809648657977
2012-02-09,-0.0010091565823570736,-0.0013732407731977536,0.00021716525112225327
2012-02-10,-0.00965715724262033,-0.003904367090486305,-0.012603594966183351
2012-02-13,0.008586589670696532,0.0031483560735290905,0.011003898775439946
2012-02-14,-0.004112139374553692,-0.0013596316114476426,-0.004788800100137047
2012-02-15,-0.00011509383029536515,0.0010356159629398565,-0.002405754275214722
2012-02-16,0.008721502274935084,0.002645175198240507,0.012277855141450411
2012-02-17,0.000977392605060756,-0.0007649443556275171,0.0028156837371380306
2012-02-21,0.005941220721635831,0.005706788047223715,0.001944007176178708
2012-02-22,0.0005210276986816081,0.0030635390718640187,-0.002155401905971299
2012-02-23,0.0035487001726413063,0.0011837836761361131,0.004320225525265453
2012-02-24,0.0030443680857890286,0.0001629462666411785,0.0049469589591231156
2012-02-27,-0.003919584712734925,-0.0010177231279152044,-0.004280575288368671
2012-02-28,0.009748295041955424,0.005068581625866875,0.009458188582100124
2012-02-29,-0.020082242373722893,-0.014996008075011696,-0.005962176944714903
2012-03-01,0.009484658491211495,0.00486025189305786,0.007497476742456488
2012-03-02,-0.004802431448960798,-0.0012177248151747921,-0.00616608351642256
2012-03-05,-0.005138603384189183,-0.002705458300451491,-0.005348700595141143
2012-03-06,-0.024766155691579157,-0.010544863188504033,-0.02624199767926938
2012-03-07,0.010294242137383808,0.004081151103320968,0.0112653651759127
2012-03-08,0.015280372529471115,0.005834888103834729,0.016382699577050408
2012-03-09,0.002406076072061486,0.0019020426187304484,0.0015047022767853413
2012-03-12,-0.0025255968976003683,-0.0021935003549471976,-0.001931382376406554
2012-03-13,0.01302827324921403,-0.0012569638170776554,0.01634039081200056
2012-03-14,-0.005490050431416937,-0.007121888969586487,-0.004231092061328989
2012-03-15,0.007065067831803874,0.003981947414363585,0.006798642394269194
2012-03-16,0.0018454589765884767,0.0009938999591323494,0.0018987556916414405
2012-03-19,0.00397121617890619,0.00048568143649971307,0.004212701257787055
2012-03-20,-0.007510205305385253,-0.003819605046124136,-0.007340765906035274
2012-03-21,-0.004133190456216018,-0.0003483395280689805,-0.004647945562393008
2012-03-22,-0.008232482041546552,-0.0030081214706091097,-0.00870334083455293
2012-03-23,0.005468370270583356,0.0051912776695418605,0.0047111940253701245
2012-03-26,0.013669333051735521,0.007686427059574535,0.01321397369569599
2012-03-27,-0.00354537923348196,-0.002093718707126907,-0.003155322393524118
2012-03-28,-0.006187210848620705,-0.0042428824411497035,-0.00569712765197572
2012-03-29,-0.005108644805426443,-0.0009285467600196606,-0.005518046003262778
2012-03-30,0.007050639251303869,0.002544549049059125,0.007255342427423983
2012-04-02,0.009849017794662076,0.004180297327861848,0.010381350097177666
2012-04-03,-0.010930317002585422,-0.008793120712953656,-0.01006495609696445
2012-04-04,-0.0169267579613378,-0.007776157515404503,-0.01694512242331281
2012-04-05,-0.0004639770731815208,0.0023070955126114623,-0.0012929691739277382
2012-04-09,-0.006514923020708607,0.0011439438258004364,-0.007982770940997974
2012-04-10,-0.01613954590715152,-0.001801120863086536,-0.019138974539722353
2012-04-11,0.009360552926974854,0.0025504608075175295,0.01042130460274282
2012-04-12,0.017009272243944485,0.0065387371353294865,0.017774773737724292
2012-04-13,-0.014914393222776833,-0.005618825499754676,-0.01530815194566082
2012-04-16,0.0019250875177498795,4.1062911673800384e-05,0.0024083878334890674
2012-04-17,0.012844472702125343,0.0032605506205681256,0.01441705624310008
2012-04-18,-0.0034933435259162705,-0.0018951563625571877,-0.003229731710088113
2012-04-19,-0.004591136309004251,-0.0013194157139551355,-0.005184953426164984
2012-04-20,0.0033913286554533295,0.0012944651234316207,0.0036914805243570825
2012-04-23,-0.011004163501156163,-0.0034623609389956567,-0.01189952813509132
2012-04-24,0.004677091933579724,0.0011048411955543458,0.005036115771390737
2012-04-25,0.010789195000358244,0.0035565058546351835,0.011764801266841873
2012-04-26,0.0051472613524142785,0.00399343501173155,0.004737678977489557
2012-04-27,0.003495858640874516,0.0015237992372285902,0.00364278227192405
2012-04-30,-0.0029567767893078248,-0.0001614231697939783,-0.003629560573013779
2012-05-01,0.00409000750228149,0.00021168635284135595,0.0049288236048621314
2012-05-02,-0.0044831466822919715,-0.0019089968880543484,-0.004478470172940674
2012-05-03,-0.008721099317387637,-0.004485328739797956,-0.008569246901815375
2012-05-04,-0.014853930475802758,-0.0029622018904744973,-0.016853839140539617
2012-05-07,0.002722755145178413,0.0003646716745295264,0.0032970165176864352
2012-05-08,-0.011990966127335011,-0.007390943554546392,-0.011172035816892634
2012-05-09,-0.009753778477036068,-0.004790600153201152,-0.009747788920854261
2012-05-10,0.0024092107269269914,0.0006681496503530282,0.0024611069826554477
2012-05-11,-0.004196181283987476,-0.002629978359887236,-0.0037937463424312368
2012-05-14,-0.014556840580822673,-0.006706617934500114,-0.014560713606638132
2012-05-15,-0.01066672444225455,-0.00549427863442703,-0.010684492154608205
2012-05-16,-0.007631937474784456,-0.0026733184307292934,-0.008272163903148444
2012-05-17,-0.011944849349145237,0.001682510467756415,-0.015755064918958395
2012-05-18,-0.0033039294025822845,0.0016523661838446502,-0.004943574819803898
2012-05-21,0.013943934181913817,0.004426678781075666,0.017979814376784198
2012-05-22,-0.003711290216735953,-0.005312865715430826,-0.0023242983181623877
2012-05-23,-0.0033197687597927472,-0.0013603312824600478,-0.003960120685773338
