,target_weight,submitted_weight,submitted_weight_pct
ACWI,0.9,0.9,90.0
AGG,0.0,0.0,0.0
GLD,0.09999999999999998,0.09999999999999998,9.999999999999998
BSV,0.0,0.0,0.0
