,annual_return,annual_volatility,sharpe_0_rf,max_drawdown,total_return,final_wealth
strategy,0.09759657804221078,0.11356321562514082,0.8594030866857972,-0.19838901954488986,2.831515077181823,3.831515077181823
equal_weight,0.05952771310583249,0.06762442600976283,0.8802694029112879,-0.15249428109025842,1.302688860692509,2.302688860692509
acwi_only,0.11706601551192275,0.16199348735050956,0.7226587773780309,-0.3352504301155296,3.9376258783338995,4.9376258783338995
